LinkID,RoadName,RoadCategory,SpeedBand,MinimumSpeed,MaximumSpeed,StartLon,StartLat,EndLon,EndLat
103000354,SURREY ROAD,E,8,70,999,103.84261245053749,1.3159382308514525,103.84294233512517,1.315854648211366
103000355,SURREY ROAD,E,8,70,999,103.84294233512517,1.315854648211366,103.84261245053749,1.3159382308514525
103000358,ANG MO KIO AVENUE 8,C,5,40,49,103.84499903089491,1.3807128617466986,103.84500991262863,1.3807123642926429
103000359,ANG MO KIO AVENUE 8,C,4,30,39,103.84500991262863,1.3807123642926429,103.84499903089491,1.3807128617466986
103000362,NASSIM ROAD,D,2,10,19,103.82204317904964,1.3118940935550105,103.82252274944035,1.3126625795883653
103000363,NASSIM ROAD,D,2,10,19,103.82252274944035,1.3126625795883653,103.82204317904964,1.3118940935550105
103000366,LINCOLN ROAD,E,5,40,49,103.84294233512517,1.315854648211366,103.84327853125002,1.3167136667120711
103000367,LINCOLN ROAD,E,5,40,49,103.84327853125002,1.3167136667120711,103.84294233512517,1.315854648211366
103000374,ANG MO KIO AVENUE 8,C,5,40,49,103.84500991262863,1.3807123642926429,103.8451761128162,1.380684897925153
103000375,ANG MO KIO AVENUE 8,C,5,40,49,103.8451761128162,1.380684897925153,103.84500991262863,1.3807123642926429
103000378,SURREY ROAD,E,5,40,49,103.84338520326874,1.3157272395598174,103.84294233512517,1.315854648211366
103000379,SURREY ROAD,E,8,70,999,103.84294233512517,1.315854648211366,103.84338520326874,1.3157272395598174
103000382,SURREY ROAD,E,7,60,69,103.84225443085381,1.3156132848934614,103.84261245053749,1.3159382308514525
103000383,SURREY ROAD,E,2,10,19,103.84261245053749,1.3159382308514525,103.84225443085381,1.3156132848934614
103000386,WEE NAM ROAD,E,5,40,49,103.84277519172518,1.3147915862600077,103.84338520326874,1.3157272395598174
103000387,WEE NAM ROAD,E,8,70,999,103.84338520326874,1.3157272395598174,103.84277519172518,1.3147915862600077
103000390,MOHAMAD SULTAN ROAD,E,3,20,29,103.83939185990795,1.291162335870407,103.83879622503638,1.2909587737416484
103000391,MOHAMAD SULTAN ROAD,E,4,30,39,103.83879622503638,1.2909587737416484,103.83939185990795,1.291162335870407
103000394,MARTIN ROAD,E,4,30,39,103.83840296152836,1.2916111381542603,103.83879622503638,1.2909587737416484
103000395,MARTIN ROAD,E,4,30,39,103.83879622503638,1.2909587737416484,103.83840296152836,1.2916111381542603
103000406,SAIBOO STREET,E,4,30,39,103.83879622503638,1.2909587737416484,103.83812231618583,1.2896315925323827
103000407,SAIBOO STREET,E,4,30,39,103.83812231618583,1.2896315925323827,103.83879622503638,1.2909587737416484
103000408,STADIUM CRESCENT,F,3,20,29,103.88129074763484,1.304116421073875,103.88194501182524,1.303480947720935
103000414,JALAN KUBOR,E,4,30,39,103.85962406762611,1.3034705740870907,103.85918340072986,1.3041658180712976
103000415,JALAN KUBOR,E,3,20,29,103.85918340072986,1.3041658180712976,103.85962406762611,1.3034705740870907
103000418,TOMLINSON ROAD,D,4,30,39,103.82573244672774,1.30450312346212,103.82621354051224,1.3034535281731428
103000419,TOMLINSON ROAD,D,4,30,39,103.82621354051224,1.3034535281731428,103.82573244672774,1.30450312346212
103000422,BIDEFORD ROAD,C,3,20,29,103.83626910885548,1.3037416943275602,103.83695623568973,1.303367431108309
103000423,BIDEFORD ROAD,C,3,20,29,103.83695623568973,1.303367431108309,103.83626910885548,1.3037416943275602
103000430,CHATSWORTH ROAD,D,4,30,39,103.82447173073814,1.299700019895312,103.82423630283773,1.2997425241983005
103000431,CHATSWORTH ROAD,D,3,20,29,103.82423630283773,1.2997425241983005,103.82447173073814,1.299700019895312
103000432,DEVONSHIRE ROAD,E,5,40,49,103.83736801561635,1.299700493522719,103.83693000207771,1.299804080133152
103000438,CHATSWORTH ROAD,D,8,70,999,103.8215795098097,1.3002619350753117,103.82122821735582,1.2996880144700964
103000439,CHATSWORTH ROAD,D,3,20,29,103.82122821735582,1.2996880144700964,103.8215795098097,1.3002619350753117
103000446,PRINSEP STREET,B,4,30,39,103.85026714446101,1.3004162443480554,103.84973050315914,1.299920511324217
103000447,PRINSEP STREET,B,5,40,49,103.84973050315914,1.299920511324217,103.85026714446101,1.3004162443480554
103000448,RUTLAND ROAD,E,3,20,29,103.84910566257994,1.311229840433147,103.84889480067116,1.3113233168952205
103000454,ORANGE GROVE ROAD,D,5,40,49,103.82532382034226,1.3112234836796168,103.82511923783522,1.3114913467964102
103000455,ORANGE GROVE ROAD,D,4,30,39,103.82511923783522,1.3114913467964102,103.82532382034226,1.3112234836796168
103000456,ORANGE GROVE ROAD,D,4,30,39,103.82532382034226,1.3112234836796168,103.82493559289007,1.3113363109408036
103000466,WINSTEDT DRIVE,E,5,40,49,103.84231654800287,1.3106771084130493,103.84260572116985,1.3112736986654532
103000467,WINSTEDT DRIVE,E,5,40,49,103.84260572116985,1.3112736986654532,103.84231654800287,1.3106771084130493
103000470,GILSTEAD ROAD,E,6,50,59,103.84092930386213,1.319061396656469,103.84085187490123,1.3188105351806543
103000471,GILSTEAD ROAD,E,5,40,49,103.84085187490123,1.3188105351806543,103.84092930386213,1.319061396656469
103000474,MOULMEIN RISE,E,4,30,39,103.84649970636902,1.3193341206043803,103.84759767077377,1.318792210179824
103000475,MOULMEIN RISE,E,7,60,69,103.84759767077377,1.318792210179824,103.84649970636902,1.3193341206043803
103000476,GRANGE ROAD,C,3,20,29,103.82492836261135,1.2995966073516918,103.82502125420042,1.299590087190852
103000486,UPPER WILKIE ROAD,E,5,40,49,103.84718841611495,1.3040286035789885,103.84807244793292,1.303500829348059
103000487,UPPER WILKIE ROAD,E,2,10,19,103.84807244793292,1.303500829348059,103.84718841611495,1.3040286035789885
103000488,JALAN BENAAN KAPAL,E,4,30,39,103.88260774967814,1.303806415521386,103.88350989144139,1.304792453252485
103000494,STEVENS ROAD,C,5,40,49,103.83124637127273,1.3126031583342976,103.83235126377782,1.3123210243571486
103000495,STEVENS ROAD,C,5,40,49,103.83235126377782,1.3123210243571486,103.83124637127273,1.3126031583342976
103000498,SYED ALWI ROAD,E,4,30,39,103.85870764712449,1.3068304068438552,103.85912667113942,1.3063839358022185
103000499,SYED ALWI ROAD,E,2,10,19,103.85912667113942,1.3063839358022185,103.85870764712449,1.3068304068438552
103000506,BUCKLEY ROAD,E,2,10,19,103.84001801202565,1.316224036531867,103.84022564204443,1.316912438354752
103000507,BUCKLEY ROAD,E,3,20,29,103.84022564204443,1.316912438354752,103.84001801202565,1.316224036531867
103000514,ARTHUR ROAD,E,4,30,39,103.88794327377201,1.3014384798662653,103.88781914331392,1.3007662685213992
103000515,ARTHUR ROAD,E,5,40,49,103.88781914331392,1.3007662685213992,103.88794327377201,1.3014384798662653
103000516,CHENG YAN PLACE,E,4,30,39,103.85417742366865,1.3003646841996643,103.8549671753034,1.2995900710274935
103000522,ANG MO KIO AVENUE 8,C,4,30,39,103.84424669062072,1.3807436860731306,103.84499903089491,1.3807128617466986
103000523,ANG MO KIO AVENUE 8,C,4,30,39,103.84499903089491,1.3807128617466986,103.84424669062072,1.3807436860731306
103000526,ANG MO KIO AVENUE 8,C,3,20,29,103.84998011317111,1.368574220333337,103.84973096070034,1.3690128206372936
103000527,ANG MO KIO AVENUE 8,C,4,30,39,103.84973096070034,1.3690128206372936,103.84998011317111,1.368574220333337
103000530,BEDOK NORTH AVENUE 1,C,3,20,29,103.92688480413254,1.3266284824846761,103.92699111651997,1.3257932174490585
103000531,BEDOK NORTH AVENUE 1,C,3,20,29,103.92699111651997,1.3257932174490585,103.92688480413254,1.3266284824846761
103000534,BEDOK NORTH AVENUE 1,C,3,20,29,103.92699111651997,1.3257932174490585,103.92704270518263,1.3253879069403292
103000535,BEDOK NORTH AVENUE 1,C,3,20,29,103.92704270518263,1.3253879069403292,103.92699111651997,1.3257932174490585
103000538,BEDOK NORTH AVENUE 3,C,4,30,39,103.93447239316134,1.3305807737063633,103.9345891987128,1.3299795120811468
103000539,BEDOK NORTH AVENUE 3,C,4,30,39,103.9345891987128,1.3299795120811468,103.93447239316134,1.3305807737063633
103000542,CHATSWORTH ROAD,D,2,10,19,103.82447173073814,1.299700019895312,103.82492836261135,1.2995966073516918
103000543,CHATSWORTH ROAD,D,5,40,49,103.82492836261135,1.2995966073516918,103.82447173073814,1.299700019895312
103000550,QUEEN STREET,C,5,40,49,103.85348852047383,1.2995260904869215,103.85417742366865,1.3003646841996643
103000551,QUEEN STREET,C,3,20,29,103.85417742366865,1.3003646841996643,103.85348852047383,1.2995260904869215
103000554,CHATSWORTH ROAD,D,4,30,39,103.82000765106312,1.299859186451872,103.8196669425863,1.2995256187143942
103000555,CHATSWORTH ROAD,D,3,20,29,103.8196669425863,1.2995256187143942,103.82000765106312,1.299859186451872
103000558,TANGLIN HILL,E,2,10,19,103.81805296688717,1.3011053085669935,103.81754655338793,1.3014774243966796
103000559,TANGLIN HILL,E,4,30,39,103.81754655338793,1.3014774243966796,103.81805296688717,1.3011053085669935
103000562,JAVA ROAD,D,4,30,39,103.86270975462338,1.301806472610639,103.86316751887426,1.3010613159329476
103000563,JAVA ROAD,D,4,30,39,103.86316751887426,1.3010613159329476,103.86270975462338,1.301806472610639
103000564,KAMPONG ARANG ROAD,F,8,70,999,103.88493813701652,1.3011202434375964,103.88439916122353,1.3010447762182693
103000568,KAMPONG ARANG ROAD,F,5,40,49,103.88439916122353,1.3010447762182693,103.88468093944955,1.301661818312337
103000574,KAMPONG ARANG ROAD,E,2,10,19,103.88345318308859,1.3010999072766916,103.88439916122353,1.3010447762182693
103000575,KAMPONG ARANG ROAD,E,8,70,999,103.88439916122353,1.3010447762182693,103.88345318308859,1.3010999072766916
103000576,GRANGE ROAD,C,3,20,29,103.82516587459126,1.2997159390706274,103.82514573798137,1.2997838115829037
103000582,GRANGE ROAD,C,4,30,39,103.82322716383942,1.3045514800189688,103.82323542156517,1.3045308153176574
